"Timestamp","Did you study or teach in India during the Covid-19 pandemic? (In case of a student or teacher) Or if you are a parent, did your children study in India during the pandemic? (Here the pandemic specifically refers to the period between (between March 2020 and Feb 2022)","Are you a?","In which category of institution did your child study during the pandemic period (between March 2020 and Feb 2022)?","Did the introduction of online classes and remote learning during the pandemic cause financial burden on your family?","How satisfied are you with the way online learning was managed by your child’s school/university during the pandemic?","What challenges has your child faced in online classes? (multiple choices can be selected)","Do you have concerns about your child’s academic competence due to shift towards online learning during the pandemic?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which of these is most suitable for you?","What are the improvements your child's institution should have made while providing online education?(Optional question)","In which category of institution did you teach during the  pandemic period (between March 2020 and Feb 2022)?","Were you able to adapt with new ways of teaching?","What was the level of engagement of students  in your virtual classes?","Which of these benefits from online teaching apply to you? (multiple choices can be selected)","What challenges did you face while teaching online?  (multiple choices can be selected)","Did your students ask more questions in Remote Learning as compared to physical classes?","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Which form of education is most suitable according to you?","In which category of institution did you study during the pandemic period? (between March 2020 and Feb 2022)","Which devices have you used most often while learning online?","How often did you attend your online classes ?","Which of these possible benefits from online learning during the pandemic apply to you?  (multiple choices can be selected)","What challenges did you face with online education?  (multiple choices can be selected)","What is your opinion on conducting hybrid classes after the Pandemic (Here by hybrid classes, we mean there is an option to either attend live lectures in person or view lecture recordings)","Was your understanding from online learning satisfactory?","Which form of education is most suitable according to you?"
"2022/10/29 5:48:15 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","1","Lack of Attention","4","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 5:50:27 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","1","Lack of Attention","4","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 5:51:21 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","High School (till 12 th grade)","5","2","Flexibility in conducting classes;Online assignments and tests are easier to evaluate;Saved time and effort during lectures;Online resources helped demonstrate concepts more effectively","Low attendance;Power cuts","It was nearly the same","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/29 5:56:56 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Rarely","Recorded lectures made daily schedule flexible","Unfamiliarity with technology","Hybrid classes should be a regular provision to incorporate digital literacy","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 5:59:00 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","4","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 6:01:14 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","Primary or Middle School (till 5 th grade)","Mobile phone","Regularly or most often","Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 6:10:45 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","5","Communication gap with peers;Not having proper environment","5","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Good teacher ","","","","","","","","","","","","","","","",""
"2022/10/29 6:16:25 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 6:17:10 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Lack of Attention;Communication gap with peers","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 6:22:01 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","2","Lack of Attention","1","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Strictness","","","","","","","","","","","","","","","",""
"2022/10/29 6:22:20 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","Syllabus was reduced;More convenient to contact teachers from home to discuss doubts and get guidance","Internet unavailability;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 6:23:48 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","5","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 6:27:01 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","1","Lack of Attention;Communication gap with peers","2","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 6:33:52 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Flexibility in conducting classes;Saved time and effort during lectures","Poor interaction","It was nearly the same","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/29 6:33:54 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","3","Lack of Attention;Communication gap with peers;Not having proper environment","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","They should arrange weekly meetings with students concerning their problems during online classes ","","","","","","","","","","","","","","","",""
"2022/10/29 6:34:28 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be conducted occasionally to supplement regular modes of learning","2","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 6:37:24 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 6:37:55 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Lack of discipline","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 6:42:08 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 6:46:06 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better;Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","5","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 6:53:40 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","1","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 7:00:20 pm GMT+5:30","Yes","Parent/Guardian","College or University","Yes ,it had a considerable impact","3","Lack of Attention;Communication gap with peers;Not having proper environment","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 7:25:12 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/29 7:28:59 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Attended but not very regular","Syllabus was reduced","Internet unavailability;Lack of resources;Unfamiliarity with technology","Hybrid classes should be conducted only during emergencies","1","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/29 7:29:00 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","3","Teachers were not available to discuss doubts","3","Hybrid classes should be a regular provision to incorporate digital literacy","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 7:34:03 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","Yes ,it had a considerable impact","1","Lack of Attention;Communication gap with peers","2","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 7:36:27 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","4","Not having proper environment","3","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 7:36:34 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","3","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/29 7:38:53 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","3","Hybrid classes should be conducted occasionally to supplement regular teaching","Online classes ( Through video conferencing  or recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/29 7:52:42 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Syllabus was reduced","Internet unavailability;Distractions ","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 8:47:46 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","Recorded lectures made daily schedule flexible;More convenient to contact teachers from home to discuss doubts and get guidance","Internet unavailability;Power cuts","Hybrid classes should be conducted only during emergencies","4","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/29 8:55:35 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","Recorded lectures made daily schedule flexible;More convenient to contact teachers from home to discuss doubts and get guidance","Internet unavailability","Hybrid classes should be conducted occasionally to supplement regular modes of learning","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 9:26:41 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","5","Not getting coffee frequently","1","Hybrid classes should be a regular provision to incorporate digital literacy","Online classes ( Through video conferencing  or recorded lectures, and online exams )","Learns to access unlomited information available on web","","","","","","","","","","","","","","","",""
"2022/10/29 9:36:19 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","5","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 9:45:48 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible","","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 9:57:25 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","Primary or Middle School (till 5 th grade)","5","2","Flexibility in conducting classes","","They asked fewer doubts","Hybrid classes should be conducted occasionally to supplement regular modes of teaching","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/29 10:07:54 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","5","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/29 10:34:02 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible;More convenient to contact teachers from home to discuss doubts and get guidance","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/29 10:38:26 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Rarely","Syllabus was reduced","Internet unavailability","Hybrid classes should be conducted occasionally to supplement regular modes of learning","5","Online classes ( Through video conferencing  or recorded lectures, and online exams )"
"2022/10/29 11:47:03 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/30 12:00:54 am GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be conducted occasionally to supplement regular modes of learning","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 3:55:48 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","5","3","Online resources helped demonstrate concepts more effectively","Nothing","It was nearly the same","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/30 8:04:06 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Saved time and effort during lectures","Poor interaction;A constant difficulty to judge and evaluate learning from what's is being taught. Practicals are not possible ","They asked fewer doubts","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/30 8:25:48 am GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","2","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Ensure proper internet connectivity","","","","","","","","","","","","","","","",""
"2022/10/30 9:11:38 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","High School (till 12 th grade)","5","3","Online resources helped demonstrate concepts more effectively","Power cuts","They asked more doubts","Hybrid classes should be conducted only during emergencies","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/30 9:53:25 am GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","3","Flexibility in conducting classes;Online assignments and tests are easier to evaluate;Online resources helped demonstrate concepts more effectively","Low attendance;Internet Banwidth Issues","They asked fewer doubts","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/30 11:12:06 am GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/30 11:15:02 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","Yes ,it had a considerable impact","4","Lack of Attention;Not having proper environment","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/30 12:05:15 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/30 12:41:57 pm GMT+5:30","No","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/10/30 1:15:49 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","4","2","Flexibility in conducting classes;Saved time and effort during lectures;Online resources helped demonstrate concepts more effectively","Low attendance;Network problem ","It was nearly the same","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/30 2:22:17 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","College or university","5","2","Flexibility in conducting classes;Online assignments and tests are easier to evaluate;Online resources helped demonstrate concepts more effectively","Poor interaction;Power cuts","It was nearly the same","Hybrid classes should be conducted only during emergencies","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","",""
"2022/10/30 3:01:48 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible;More convenient to contact teachers from home to discuss doubts and get guidance","Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 3:03:46 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Desktop","Attended but not very regular","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 3:03:55 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 3:07:28 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","More study resources helped prepare for exams better;Syllabus was reduced;Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts;Distractions as in on other tabs on laptop while classes were going on","Hybrid classes should be conducted only during emergencies","2","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/30 3:13:33 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Regularly or most often","","Internet unavailability;Lack of resources","Hybrid classes should be a regular provision to incorporate digital literacy","2","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 3:30:01 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","2","Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","3","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/30 3:32:42 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","More study resources helped prepare for exams better","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","4","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/30 5:01:20 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Desktop","Regularly or most often","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Internet unavailability;Power cuts","Hybrid classes should be a regular provision to incorporate digital literacy","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 5:17:02 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","Primary or Middle School (till 5 th grade)","4","3","Flexibility in conducting classes","Poor interaction;Unfamiliarity with technology","They asked fewer doubts","Hybrid classes should be a regular provision to incorporate digital literacy","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/30 5:29:22 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Desktop","Attended but not very regular","Recorded lectures made daily schedule flexible","","Hybrid classes should be a regular provision to incorporate digital literacy","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 6:07:15 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Lack of Attention;Communication gap with peers","4","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/30 6:09:15 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Laptop/ Tablet","Attended but not very regular","Recorded lectures made daily schedule flexible;More convenient to contact teachers from home to discuss doubts and get guidance","Power cuts","Hybrid classes should be conducted occasionally to supplement regular modes of learning","2","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/30 6:46:48 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","College or University","Mobile phone","Regularly or most often","More study resources helped prepare for exams better","Internet unavailability;Lack of resources","Hybrid classes should be a regular provision to incorporate digital literacy","3","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/30 7:54:04 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Attended but not very regular","More study resources helped prepare for exams better;Recorded lectures made daily schedule flexible","Power cuts","Hybrid classes should be conducted only during emergencies","4","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/30 10:04:59 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Communication gap with peers","4","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Prefer offline for overall growth of child, but yes it save time","","","","","","","","","","","","","","","",""
"2022/10/30 11:17:40 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be a regular provision to incorporate digital literacy","3","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)"
"2022/10/31 7:08:39 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability","Hybrid classes should be conducted only during emergencies","2","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/31 7:40:04 pm GMT+5:30","Yes","Parent/Guardian","College or University","No ,we adjusted easily","4","Communication gap with peers","4","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Digital competency","","","","","","","","","","","","","","","",""
"2022/10/31 7:41:01 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Communication gap with peers","5","Hybrid classes should be conducted occasionally to supplement regular teaching","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","Digital literacy","","","","","","","","","","","","","","","",""
"2022/10/31 8:50:40 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","Yes ,it had a considerable impact","3","Communication gap with peers","3","Hybrid classes should be conducted only during emergencies","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","I managed to overcome loopholes in her studies ","","","","","","","","","","","","","","","",""
"2022/10/31 9:14:25 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","5","Lack of Attention;Not having proper environment","4","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","easily available teaching materials ","","","","","","","","","","","","","","","",""
"2022/10/31 9:18:29 pm GMT+5:30","Yes","Teacher/Professor","","","","","","","","","High School (till 12 th grade)","2","2","Flexibility in conducting classes","Low attendance","Can't say","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","",""
"2022/10/31 9:34:58 pm GMT+5:30","Yes","Student","","","","","","","","","","","","","","","","","High School (till 12 th grade)","Laptop/ Tablet","Regularly or most often","Recorded lectures made daily schedule flexible","Internet unavailability;Lack of resources;Unfamiliarity with technology;Power cuts","Hybrid classes should be conducted only during emergencies","5","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )"
"2022/10/31 10:17:48 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","4","Lack of Attention;Communication gap with peers","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/31 10:41:33 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","3","Communication gap with peers;Teachers were not available to discuss doubts","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/31 10:59:01 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","3","Lack of Attention;Communication gap with peers;Not having proper environment","1","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Figuring out way for peer interaction in online class as well","","","","","","","","","","","","","","","",""
"2022/10/31 11:18:12 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","1","Not having proper environment","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/10/31 11:35:10 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","5","Communication gap with peers;Not having proper environment","3","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/31 11:36:10 pm GMT+5:30","Yes","Parent/Guardian","High School (till 12 th grade)","No ,we adjusted easily","4","Not having proper environment","4","Hybrid classes should be a regular provision to incorporate digital literacy","Hybrid mode (There is option to either attend live lectures in person or view recordings , exams conducted at centers)","","","","","","","","","","","","","","","","",""
"2022/10/31 11:38:11 pm GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","Yes ,it had a considerable impact","4","Lack of Attention;Communication gap with peers;Not having proper environment","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","","","","","","","","","","","","","","","","",""
"2022/11/01 7:17:06 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","No ,we adjusted easily","4","Lack of Attention;Communication gap with peers;Not having proper environment","5","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","They were good.","","","","","","","","","","","","","","","",""
"2022/11/01 7:19:56 am GMT+5:30","Yes","Parent/Guardian","Primary or Middle School (till 5th grade)","Yes ,it had a considerable impact","1","Lack of Attention;Communication gap with peers;Not having proper environment;Teachers were not available to discuss doubts","2","Hybrid classes should be conducted only during emergencies","Offline learning ( Without any of video conferencing , recorded lectures, and online exams )","Focus more confidence ","","","","","","","","","","","","","","","",""
